,Above Screen,Above Screen_Percentage,Frame_total,Keyboard,Keyboard_Percentage,Name,Patient,Patient_Percentage,Screen,Screen_Percentage
0,59.0,0.006465044926583389,9126.0,1927.0,0.2111549419241727,D9_Virtual-01-03-2022__10_56_28,5137.0,0.5628972167433706,2003.0,0.2194827964058733
1,20.0,0.001767252805513829,11317.0,1822.0,0.1609967305823098,D9_Virtual-08-03-2022__09_59_55,7248.0,0.6404524167182115,2227.0,0.1967835998939648
2,2.0,0.00024405125076266016,8195.0,841.0,0.1026235509456986,D9_Virtual-15-02-2022__10_02_23,5718.0,0.6977425259304454,1634.0,0.1993898718730933
3,43.0,0.0023573269009374486,18241.0,3156.0,0.17301683021764158,D9_Virtual-15-02-2022__10_12_15,10737.0,0.5886190450084974,4305.0,0.23600679787292364
4,44.0,0.003236960200102994,13593.0,2426.0,0.1784742146693151,D9_Virtual-15-02-2022__10_33_18,6008.0,0.4419922018686088,5115.0,0.37629662326197305
5,84.0,0.012136974425661027,6921.0,1301.0,0.18797861580696432,D9_Virtual-15-02-2022__11_05_32,2865.0,0.4139575205895102,2671.0,0.3859268891778645
6,90.0,0.018233387358184763,4936.0,735.0,0.1489059967585089,D9_Virtual-15-02-2022__11_14_32,3131.0,0.6343192868719612,980.0,0.1985413290113452
7,83.0,0.006619875578242144,12538.0,1089.0,0.08685595788802042,D9_Virtual-15-03-2022__11_20_08,8444.0,0.6734726431647791,2922.0,0.2330515233689584
8,6.0,0.0009976720984369804,6014.0,804.0,0.13368806119055535,D9_Virtual-15-03-2022__11_38_37,3942.0,0.655470568673096,1262.0,0.2098436980379116
9,69.0,0.007080554130323244,9745.0,627.0,0.06434068753206773,D9_Virtual-22-03-2022__10_30_10,6991.0,0.7173935351462288,2058.0,0.2111852231913802
10,53.0,0.0047474023647438215,11164.0,1081.0,0.09682909351486922,D9_Virtual-22-03-2022__10_47_25,7062.0,0.6325689716947329,2968.0,0.2658545324256539
11,126.0,0.01196808510638298,10528.0,1341.0,0.12737462006079028,D9_Virtual-22-03-2022__11_25_34,4848.0,0.4604863221884498,4213.0,0.4001709726443769
12,10.0,0.0010857763300760044,9210.0,1136.0,0.1233441910966341,D9_Virtual-29-03-2022__09_11_23,5035.0,0.5466883821932682,3029.0,0.3288816503800217
13,,,6569.0,573.0,0.08722788856751408,D9_Virtual-29-03-2022__10_02_21,3870.0,0.5891307657177652,2126.0,0.32364134571472064
14,1.0,0.00010842459069717012,9223.0,956.0,0.10365390870649464,D9_Virtual-29-03-2022__10_19_13,5601.0,0.6072861324948499,2665.0,0.2889515342079584
15,9.0,0.000552791597567717,16281.0,1821.0,0.11184816657453474,D9_Virtual-29-03-2022__10_44_09,9762.0,0.599594619495117,4689.0,0.28800442233278056
16,4.0,0.00042211903756859433,9476.0,1101.0,0.1161882650907556,D9_Virtual-29-03-2022__11_02_20,4936.0,0.5208948923596454,3435.0,0.3624947235120304
17,11.0,0.0009898317286061366,11113.0,1608.0,0.14469540178169712,D9_Virtual-29-03-2022__11_23_40,6437.0,0.5792315306397913,3057.0,0.2750832358499055
18,2.0,0.00014884274763712137,13437.0,1808.0,0.13455384386395772,D9_Virtual-29-03-2022__12_13_48,7350.0,0.5469970975664211,4277.0,0.3183002158219841
19,1.0,0.00010120433154539014,9881.0,1209.0,0.12235603683837669,D9_Virtual-29-03-2022__12_37_28,5005.0,0.5065276793846777,3666.0,0.37101507944540024
