,timestamp,gaze360_res,gaze360_x,gaze360_y
0,0:0:0.00,Screen,0.08256737355365126,0.8610664641073636
1,0:0:0.07,Screen,0.07464204149832022,0.8409548755171844
2,0:0:0.13,Screen,0.015264821498929196,0.8843788498999824
3,0:0:0.20,Screen,-0.03111860048827967,1.0418695076531268
4,0:0:0.27,Screen,0.04436367424116768,1.065592214431222
5,0:0:0.33,Screen,0.06568652696328199,1.1712621217490613
6,0:0:0.40,Screen,0.13476603193477404,1.1332416976216562
7,0:0:0.47,Screen,0.34384493585875,0.8949058312298346
8,0:0:0.53,Patient,0.6538289717116555,0.6933195278647681
9,0:0:0.60,Patient,0.8817336739734221,0.4687080614540847
10,0:0:0.67,Patient,1.1074078234502909,0.2557917872534904
11,0:0:0.73,Patient,1.3484346795887752,0.2124961849650768
12,0:0:0.80,Patient,1.6761887146281889,0.2413773265959717
13,0:0:0.87,Patient,1.8439728869697023,0.2371907776604041
14,0:0:0.93,Patient,1.877783370273398,0.2672011765588976
15,0:0:1.00,Patient,1.910296260349816,0.2747236022340864
16,0:0:1.07,Patient,1.860359111636944,0.1894384335291743
17,0:0:1.13,Patient,1.7190781856051638,0.13456151129898808
18,0:0:1.20,Patient,1.663821550187882,0.07729309814543102
19,0:0:1.27,Patient,1.5991689887440212,0.03369243630741331
20,0:0:1.33,Patient,1.7304448301340265,0.03953303426325497
21,0:0:1.40,Patient,1.9745493014087037,0.061981275893747925
22,0:0:1.47,Patient,2.181848163968621,0.12925854243714566
23,0:0:1.53,Patient,2.2796175140124113,0.17129863086791902
24,0:0:1.60,Patient,2.354564050738992,0.185668382493096
25,0:0:1.67,Patient,2.4302764714206373,0.2129253507013082
26,0:0:1.73,Patient,2.35697564634727,0.23477406455010605
27,0:0:1.80,Patient,2.2780751773622687,0.2485110314023416
28,0:0:1.87,Patient,2.2307552750850013,0.2538341240910251
29,0:0:1.93,Patient,2.2161224322105344,0.2608158864957545
30,0:0:2.00,Patient,2.18440069264413,0.2674613801323768
31,0:0:2.07,Patient,2.1992786497009797,0.28161046983389004
32,0:0:2.13,Patient,2.2599441766976556,0.33441752262509783
33,0:0:2.20,Patient,2.1938884234137217,0.3310442628958714
34,0:0:2.27,Patient,2.0962459294831826,0.2826669523733489
