,frame,f_found,f_confidence,face_centerx,face_centery,face_centerz,2d_x,2d_y,3d_x,3d_y,3d_z
0,0,1,0.99671644,-89.264138333599,-22.809742277417953,729.401195918083,0.15292260685218284,0.6674581874692515,0.07104682177305222,0.326920747756958,-0.9423774480819702
1,1,1,0.9978022,-80.99967960374666,-23.125708686122106,717.4620281934285,0.21932371359553152,0.6423910363420366,0.013483719900250435,0.3241008520126343,-0.9459264874458313
2,2,1,0.99698776,-73.69323168088015,-22.286032667138226,681.3159596310089,0.23212942871363668,0.593880896543433,-0.0061383843421936035,0.3201315402984619,-0.9473532438278198
3,3,1,0.9971765,-68.59696947900706,-28.518435024779617,728.6923049570933,0.21161499107665116,0.6098159465396072,0.002205499215051532,0.3142666816711426,-0.9493321776390076
4,4,1,0.9981805,-56.94568433442915,-25.75501285812692,695.8910357880562,0.20373701346883397,0.5718762620008657,-0.00822950154542923,0.3099643290042877,-0.9507125616073608
5,5,1,0.99578,-54.85332880058326,-22.153399120514475,680.7625482524023,0.1944945416677977,0.5594051219405265,-0.004468489438295364,0.30680644512176514,-0.9517614245414734
6,6,1,0.99868554,-52.04462806408659,-18.900788485871782,671.3908306659381,0.1671629807165499,0.589924585848739,0.012768012471497059,0.3183554410934448,-0.9478853940963745
7,7,1,0.9988423,-51.30635598370722,-20.48820860583464,702.6033225987634,0.14622515093352087,0.6537637674131711,0.027059171348810196,0.3310200273990631,-0.9432356953620911
8,8,1,0.99784696,-47.22907035754387,-15.808218336917806,670.463959783504,0.1281472121853889,0.6620050743902308,0.03638989105820656,0.3423711955547333,-0.9388598203659058
9,9,1,0.9989219,-42.643701600987164,-12.464096083716159,651.2252771412776,0.11333797001268371,0.6637054539215786,0.042394962161779404,0.3476600646972656,-0.9366616606712341
10,10,1,0.99897563,-42.76228421799726,-11.864789656053949,655.0875750733404,0.11098699347612268,0.6758087865702456,0.04424263909459114,0.34973520040512085,-0.9358032941818237
11,11,1,0.99830097,-43.045871401776935,-12.614893379550827,660.7992548586058,0.13280373636704154,0.6948624713369572,0.02747306413948536,0.35552579164505005,-0.9342626333236694
12,12,1,0.9988141,-42.86339638189188,-11.656258839663176,661.8682725478826,0.17283424379080695,0.7064670717529832,-0.003606511978432536,0.3583984076976776,-0.9335617423057556
13,13,1,0.9986695,-43.65158280848419,-10.657413474964503,658.2555317961766,0.2284765151066577,0.6885151568654208,-0.04565664008259773,0.3517090380191803,-0.9349952936172485
14,14,1,0.99827373,-45.93343163293779,-11.261783765368046,671.6866519575984,0.3242911534815526,0.6729168024470373,-0.11353098601102829,0.33861878514289856,-0.9340492486953735
15,15,1,0.99801826,-46.903812927531874,-11.138433568287098,667.2404080574152,0.4289753429275431,0.6296385578309482,-0.19023969769477844,0.32038503885269165,-0.9279882311820984
16,16,1,0.9984078,-50.93663993563678,-11.890829725620994,662.6919436231619,0.5489158804144971,0.6153454171341629,-0.2696511149406433,0.3120603561401367,-0.9109920859336853
17,17,1,0.99900013,-55.52848222612091,-14.984081670632634,652.5364241240072,0.6753524123054186,0.6029516693437539,-0.349371999502182,0.3072895407676697,-0.8851622939109802
18,18,1,0.9990957,-55.591329218729015,-14.86550700966439,617.6382363744367,0.7530361664356788,0.5765363939241871,-0.4132480323314667,0.3036251664161682,-0.8585090637207031
19,19,1,0.99885,-63.86453465204866,-18.492983948209513,639.3431669265591,0.8367793826169095,0.6043139442233322,-0.43919461965560913,0.3047512173652649,-0.8451241254806519
20,20,1,0.99733377,-69.79526077788772,-21.877967787911384,662.2313941089868,0.8376771053979621,0.5916170427258878,-0.422868013381958,0.2976110577583313,-0.8559265732765198
21,21,1,0.9968829,-69.60510505760435,-20.419265674111916,649.7867780809466,0.7330517778471893,0.5719236012337813,-0.36998918652534485,0.3011898100376129,-0.878858745098114
22,22,1,0.99774206,-71.50219231250303,-21.00778928377298,661.0110142274823,0.6249643646009916,0.6065074096259047,-0.2939738631248474,0.3183576762676239,-0.9012367725372314
23,23,1,0.99866056,-68.72996253994799,-19.005672182979957,649.5829213834195,0.5301372350747855,0.6505860637660035,-0.23587548732757568,0.34252458810806274,-0.9094172120094299
24,24,1,0.9993794,-64.67550434565588,-17.591382606184663,643.8644610931357,0.4635040151787281,0.720531614130425,-0.1931534856557846,0.37278178334236145,-0.9075932502746582
25,25,1,0.99919826,-64.16794167048405,-17.365675221489393,676.6113698397131,0.42223135855569416,0.8040157892303478,-0.15464286506175995,0.38890528678894043,-0.9082061052322388
26,26,1,0.9987967,-59.02499886567315,-13.155566675907961,663.6713391583593,0.3923511220984735,0.770372275196748,-0.14398209750652313,0.3791094422340393,-0.9140816330909729
27,27,1,0.9978422,-52.92296030402713,-13.220728880196754,659.8910503200856,0.42738967004725126,0.715135344068534,-0.1798754632472992,0.35873568058013916,-0.9159440994262695
28,28,1,0.9977406,-52.54382270257838,-13.719461312263002,663.6373642583555,0.44730099404699436,0.6548608350702954,-0.19559065997600555,0.33428752422332764,-0.9219523668289185
29,29,1,0.9988973,-54.78037773769546,-14.866348682608736,664.0922260190043,0.43285707553027447,0.6150720146418068,-0.1833268105983734,0.3213023841381073,-0.9290619492530823
30,30,1,0.9987889,-57.69423442579157,-15.436856654028873,680.161248647602,0.4282150468080292,0.6503618458189949,-0.17138643562793732,0.3289867639541626,-0.9286519885063171
31,31,1,0.9979279,-53.57027102589268,-12.277353733958705,653.1614731500923,0.3520381917698865,0.6783597232390692,-0.12626434862613678,0.3499424159526825,-0.9282228350639343
32,32,1,0.9987821,-47.67742877235498,-8.627816854100919,670.4434465314548,0.2966903757885363,0.7632008526963319,-0.08903806656599045,0.37030714750289917,-0.9246323108673096
33,33,1,0.9969969,-38.72296969083877,0.551233078594502,672.3975616133768,0.235194181910352,0.8532474209715918,-0.05434821918606758,0.39197972416877747,-0.9183671474456787
34,34,1,0.9970125,-35.25876480645372,3.793024978476067,659.4855194288356,0.18932654519867242,0.8763995081511863,-0.025211893022060394,0.4035722017288208,-0.9146003723144531
35,35,1,0.9973242,-36.262000589822335,3.6265544213750496,692.4519383941678,0.19526313819180724,0.8951043776173814,-0.026897910982370377,0.39375391602516174,-0.9188222885131836
