,frame,f_found,f_confidence,face_centerx,face_centery,face_centerz,2d_x,2d_y,3d_x,3d_y,3d_z
0,0,1,0.9989145,-192.75237453221658,-14.408303869407112,678.8884875400339,2.309687646742224,1.7512576407591054,-0.6849551,0.4523004,-0.5711925
1,1,1,0.9990239,-190.38943163625632,-15.92170503976493,676.9470150789658,2.149584873686349,1.698479510236106,-0.6558398,0.46173292,-0.5972243
2,2,1,0.99864095,-188.30685620361638,-17.34643921460817,678.4094859953526,1.9583643776369166,1.6203883125260983,-0.61462426,0.4687988,-0.6344011
3,3,1,0.99806553,-177.8956349933308,-19.698438996987747,679.0538517583387,1.6954400410619144,1.3913077453553453,-0.558252,0.44740102,-0.6987039
4,4,1,0.99812835,-157.93266413378635,-22.88157990606366,679.6304120744609,1.3199186861999845,1.0783130576944207,-0.45264205,0.40404463,-0.79489815
5,5,1,0.99938905,-119.92207672355539,-27.89206499404425,687.0628121276624,0.9654903064366065,0.8064893067541088,-0.33444548,0.3461254,-0.87655205
6,6,1,0.9996164,-76.96931423612955,-33.225896759434576,688.3113451358471,0.6811857637734401,0.5953087946686977,-0.23653877,0.2906518,-0.9271305
7,7,1,0.9995378,-44.27050192640983,-33.82510536252921,676.2315156315558,0.4892986127401106,0.5051679816674283,-0.17035498,0.26652882,-0.9486525
8,8,1,0.99939144,-25.269986108874956,-34.83390855962287,692.3235031607123,0.36752442919385286,0.4765809774177266,-0.11842709,0.2526945,-0.96027106
9,9,1,0.9994993,-14.30617136672641,-35.022694283066166,700.7152439097193,0.3666378839771949,0.4622784945814208,-0.13137212,0.24467227,-0.9606648
10,10,1,0.99954236,-7.916298332932058,-34.69166407102991,691.6938732454564,0.39702091228889397,0.4325928681721189,-0.16036636,0.23590985,-0.9584514
11,11,1,0.9997265,-1.8378992898247872,-34.17304819100921,688.3143166830955,0.4585873965465576,0.40188282201385256,-0.20637253,0.22405507,-0.95247555
12,12,1,0.9996037,5.013849025456358,-33.15402427571824,678.2939944926203,0.5111931418003681,0.33231798803190093,-0.24976891,0.19918239,-0.9475979
13,13,1,0.9997106,14.835577700732577,-36.89362813063606,697.9329694739699,0.5573615891054994,0.24492784791746106,-0.28186736,0.16710488,-0.9447893
