,frame,f_found,f_confidence,face_centerx,face_centery,face_centerz,2d_x,2d_y,3d_x,3d_y,3d_z
0,0,1,0.9965886,267.6174482266747,-36.26386037108607,731.4860357661191,0.34863770582420023,1.1656963085249759,0.0017319045728072524,0.5418009161949158,-0.8405051231384277
1,1,1,0.9880114,244.89069466266346,-35.834735978623605,682.5074484115272,0.45993643464116196,0.9613448334943588,-0.04689144343137741,0.4995054304599762,-0.8650407791137695
2,2,1,0.9961565,233.28443006285354,-37.975148581784204,667.6225713519271,0.4329151149699038,1.0050112218133769,-0.010640108957886696,0.5278803110122681,-0.8492521047592163
3,3,1,0.9972504,225.41986378973297,-47.498557383843384,695.2211954892172,0.34789303702022945,1.0368045262657217,0.06248230114579201,0.5319709181785583,-0.8444542288780212
4,4,1,0.9983529,202.5166062763451,-50.98150173761249,675.0702198936575,0.34794327402121294,0.9839761329033242,0.09727675467729568,0.528828501701355,-0.8431356549263
5,5,1,0.99547535,183.1408234924197,-50.855720773150665,655.3281674647897,0.2971163360065629,0.999569731760737,0.16483908891677856,0.5432592034339905,-0.823223888874054
6,6,1,0.99854493,173.64363021247686,-54.41512950302666,663.6171599014903,0.2502989440748527,1.0361993286270774,0.20804950594902039,0.5500699281692505,-0.8087883591651917
7,7,1,0.99764156,161.5903382501231,-54.09113205842928,656.0011343777487,0.19085932866908548,1.0171734111107167,0.2684919834136963,0.5415935516357422,-0.7966105937957764
8,8,1,0.9981451,150.37625710462828,-52.22549510160419,640.8159656040121,0.0834666406499325,1.032094534704807,0.35852888226509094,0.5400441884994507,-0.7614521384239197
9,9,1,0.9979705,144.86337686573117,-52.7037622430272,642.1010713306681,0.017048761661103317,1.0662184118567826,0.4030800461769104,0.5409236550331116,-0.7381924986839294
10,10,1,0.99824834,140.00735653203665,-53.526515973866424,646.4745403370606,-0.06310734745723846,1.1385304300962527,0.4470701515674591,0.5491103529930115,-0.706120491027832
11,11,1,0.99756396,138.33121055980374,-54.49527597657184,656.0004385221347,-0.11379535340992476,1.286355901825696,0.4605100452899933,0.5797415375709534,-0.6721832156181335
12,12,1,0.9972121,135.1422221477361,-53.494376226349154,652.9928128528145,-0.14619813119152522,1.4817742284068018,0.46546944975852966,0.6252709031105042,-0.6263980865478516
13,13,1,0.99508,134.51933062266593,-55.76979286371451,669.6030700006751,-0.345017513074384,1.754661691854094,0.5247883200645447,0.6477068662643433,-0.552334189414978
14,14,1,0.9940129,134.3532894283035,-54.910886261079604,664.1984196565022,-0.3482203863892595,1.7935946792121695,0.5246392488479614,0.6566925048828125,-0.5417643785476685
15,15,1,0.99407345,133.54866995821774,-55.39383237753305,668.8349749355566,-0.3485447033789022,1.7040439386571569,0.5318619012832642,0.636008620262146,-0.559120774269104
16,16,1,0.9951149,131.8729472233443,-55.7524452011908,666.324890828342,-0.27399956598870273,1.5045284009952464,0.520054817199707,0.6040176749229431,-0.6039087772369385
17,17,1,0.9940341,139.29499872967432,-61.59748565852197,705.7813453514735,-0.21022371071487486,1.36530523392568,0.48000162839889526,0.5695832371711731,-0.6672132015228271
18,18,1,0.9933076,142.0413733196156,-63.379621301984514,713.3622926578042,-0.14427598547504483,1.2449391859682508,0.4509776532649994,0.5457382202148438,-0.7062498927116394
19,19,1,0.9955096,138.57837739036117,-61.71580857822219,696.9988839686835,-0.0068589009001894675,1.15135472917991,0.39482933282852173,0.5420335531234741,-0.741828441619873
20,20,1,0.99578565,140.47979670781015,-61.90906599951452,699.8785390438837,0.03952834245774887,1.1838766852168767,0.36359545588493347,0.5561378002166748,-0.7473346590995789
21,21,1,0.9964868,142.6918837321115,-64.751998703588,713.2162606766155,0.1327617526132311,1.2268181252850276,0.2990274131298065,0.5739455223083496,-0.7623445391654968
22,22,1,0.9964379,143.6822716879944,-65.25200222448588,718.1379128441384,0.26416064113191073,1.3386853990331717,0.20986300706863403,0.613296389579773,-0.7614625096321106
23,23,1,0.9969709,139.71117763679183,-61.30575467598271,698.1088821961598,0.25019866567751625,1.4527956457511364,0.2227422446012497,0.650417685508728,-0.7261837124824524
24,24,1,0.9966438,140.64878683569665,-60.86249450330814,688.1793840267134,0.19561371518193385,1.5665696814813694,0.25149834156036377,0.6793856024742126,-0.6893357634544373
25,25,1,0.9965148,139.46002955236617,-60.30219341151284,690.3207726726456,0.13191949124514077,1.7153379648022367,0.2812306880950928,0.704727053642273,-0.6513594388961792
26,26,1,0.99624544,142.42439425660748,-61.513582391773475,699.312744388886,-0.046665066476670805,1.9757885521517862,0.353743314743042,0.7315604090690613,-0.5828250646591187
27,27,1,0.9955533,138.36891128547157,-58.32612140497051,678.2362246585952,-0.06649832140534136,2.0483407767865316,0.3673686981201172,0.7485479712486267,-0.5520110130310059
28,28,1,0.997063,140.4960426691416,-59.316373266029096,690.2621148290567,-0.11231971086361163,2.141653806048176,0.37721341848373413,0.7536218762397766,-0.5382975339889526
29,29,1,0.9963212,139.67325065149038,-56.07022126000976,673.0291921285491,-0.11195395924372777,2.06569335301088,0.3886663317680359,0.746480405330658,-0.5400976538658142
30,30,1,0.99574214,140.0232982042945,-55.99252512734281,673.3560739553308,-0.06016999729894292,2.0042665879011397,0.3679630160331726,0.7432659268379211,-0.5587119460105896
31,31,1,0.9962496,139.7422134939815,-56.490011890418224,675.7051180922916,-0.06383811905367422,1.9578636168615515,0.3730781376361847,0.7334103584289551,-0.5682622790336609
32,32,1,0.99700814,140.00061765481982,-56.744006760467556,683.8581465243896,-0.12377405617853408,1.945647474876472,0.4011472165584564,0.7188259959220886,-0.5677765607833862
33,33,1,0.9971347,138.93170085993577,-55.37834393401463,672.5507395468878,-0.14131272067685116,2.036126720580893,0.40607336163520813,0.7364743947982788,-0.5410267114639282
34,34,1,0.99689436,138.4159467350012,-54.033184218954666,671.1419173563203,-0.14608008253339913,2.1912952631738265,0.3963858485221863,0.7615988254547119,-0.51268470287323
35,35,1,0.99657923,142.94892801926554,-56.74906710169915,701.9174065650722,-0.19719731421743358,2.562493203461309,0.37838980555534363,0.7980601787567139,-0.4689575433731079
36,36,1,0.9969343,138.7488840161906,-55.06795535984563,695.7874325429069,-0.10066551712329475,2.9776146445219074,0.3112337589263916,0.8569834232330322,-0.41074681282043457
37,37,1,0.9966248,133.7036044961153,-50.40158213995638,674.7321596395875,0.0721860333091692,3.0521853087128994,0.23804691433906555,0.8864505290985107,-0.39691197872161865
38,38,1,0.9949744,123.96701085242466,-43.076070751291525,662.7861942134591,0.2967959626447572,3.1682820312531614,0.1387837529182434,0.9129394888877869,-0.38377150893211365
39,39,1,0.9936744,124.6548101854579,-38.720090679472044,698.5098191658171,0.38748569753710743,3.782648900658036,0.0778888463973999,0.9405558705329895,-0.3305874168872833
40,40,1,0.9947062,126.07024410401608,-33.83283453639137,724.564363880358,0.4341478859635855,4.1448643855671445,0.050284843891859055,0.9501064419746399,-0.3078460395336151
41,41,1,0.99651104,117.28720343026446,-25.321767859413722,687.5376321853882,0.32189438873951554,4.237330501276558,0.09968551248311996,0.9572266936302185,-0.2716243863105774
42,42,1,0.9976169,116.18741084290029,-25.607508718689875,692.2957700635517,0.3078643991150911,3.94134032542919,0.11435461044311523,0.9446040987968445,-0.30764609575271606
43,43,1,0.9978606,113.97259479330053,-29.656824015198577,701.4574534944554,0.4043816451660627,3.0147323510657698,0.10081761330366135,0.8892000913619995,-0.4462723731994629
44,44,1,0.9989034,106.36218701543417,-34.66086428067187,694.372019588258,0.595786407004686,1.8165398635495706,0.030779611319303513,0.7300310134887695,-0.6827206611633301
45,45,1,0.99869907,95.83424488250603,-38.27164308143383,681.7044245007883,0.936716930433956,0.9573096235794566,-0.19036900997161865,0.4807850122451782,-0.8559237122535706
46,46,1,0.9975356,83.32418116852061,-39.92239367460996,646.3209239987658,1.068971031228606,0.4972087899420899,-0.2801046073436737,0.3111523687839508,-0.9081441164016724
47,47,1,0.999074,74.17129354611296,-42.82147513591235,637.6261087679709,1.1774300914901707,0.2017009407743305,-0.3437677025794983,0.18405626714229584,-0.9208404421806335
48,48,1,0.9991798,67.96060457106898,-44.30450568519788,635.7305959865527,1.2581530133381285,0.05549692950781824,-0.3862818479537964,0.11943494528532028,-0.9146155714988708
49,49,1,0.9992601,64.21791374524985,-45.0000181133249,640.8612267611728,1.324378466612334,0.06117173802540833,-0.42041122913360596,0.11835546791553497,-0.899581253528595
50,50,1,0.9987363,62.879920508289274,-46.65291344905781,650.1059622536285,1.3715040264719365,0.06058938577087286,-0.4415431320667267,0.11634360253810883,-0.8896650075912476
51,51,1,0.99825984,59.91029341106389,-45.846552599946214,642.2841413098158,1.4148260919895925,0.08530599943612951,-0.46781468391418457,0.12383310496807098,-0.8751084804534912
52,52,1,0.9987821,58.3179445903925,-46.72800161933558,643.5673601304328,1.4638009671208616,0.05801806288864411,-0.4910491108894348,0.11116274446249008,-0.8640101552009583
53,53,1,0.9985092,55.41955934302829,-45.644034816112764,618.7680438222334,1.5083564586746019,-0.06097952925896012,-0.5214916467666626,0.06334438174962997,-0.8509019017219543
54,54,1,0.9983677,56.642240273307415,-48.565006230985034,629.6652439299668,1.5323380181378512,-0.11712257929121568,-0.525758683681488,0.04374411329627037,-0.8495082259178162
55,55,1,0.9987882,55.70027821366108,-49.18721219741258,627.6238369956776,1.4759079974921328,-0.1288466347538901,-0.4967339038848877,0.04214764013886452,-0.8668789267539978
56,56,1,0.9985852,58.95670894061723,-54.38976715989961,662.7359734329683,1.4194730986945638,-0.10094203223477986,-0.45142772793769836,0.05976685509085655,-0.8903037905693054
57,57,1,0.99813616,55.83664411526271,-53.9048675187507,652.6658183399169,1.3308953975595408,-0.05805808160390973,-0.4041284918785095,0.08070346713066101,-0.9111350774765015
58,58,1,0.9982116,53.699329389202944,-54.50789393772171,657.2194121859889,1.3625376383538208,0.0009804816229151332,-0.4201076030731201,0.10322760790586472,-0.9015839695930481
59,59,1,0.99927574,51.17235025364332,-50.577734810867604,630.8029601774189,1.3265409496163423,0.051789150806693725,-0.41114985942840576,0.12456894665956497,-0.9030162692070007
60,60,1,0.9987913,49.36212162921049,-48.25214891824362,624.886501750247,1.3281348834463547,0.09874335749994702,-0.4146568775177002,0.1420915424823761,-0.8988156914710999
61,61,1,0.9989631,51.34713750637709,-47.97201207667259,632.705959450486,1.3699331296832913,0.1012904700085089,-0.43824249505996704,0.1383618265390396,-0.8881438970565796
62,62,1,0.9989706,52.162472264986036,-47.22594101652299,629.697608060401,1.4239507784360583,0.09892482846468481,-0.47197726368904114,0.13313505053520203,-0.8715001940727234
63,63,1,0.99892324,51.99590288665322,-47.897935291666755,634.4013190445332,1.441627266995617,0.0773206819514184,-0.47827327251434326,0.12346640229225159,-0.8694887757301331
64,64,1,0.99883395,53.213629981477915,-48.8737417498414,640.0352262910541,1.4674401797903633,0.06520220914859119,-0.4898541271686554,0.11743494123220444,-0.8638587594032288
65,65,1,0.99837434,53.54564640105179,-49.687328145028715,644.687623438252,1.4397694830467365,0.05031406704296168,-0.47216904163360596,0.11367788165807724,-0.8741474151611328
66,66,1,0.99853337,56.723563719123966,-51.094195842194694,662.2332009853067,1.450940512123696,0.036699077320014366,-0.4713434875011444,0.10710648447275162,-0.875421941280365
67,67,1,0.998064,54.60280615797399,-51.850310070169265,647.7469133270998,1.44867274249053,0.01060391541170284,-0.47499391436576843,0.09996901452541351,-0.874292254447937
68,68,1,0.9984175,56.5000295696999,-55.97715656041475,680.6449329410051,1.4785733921817958,-0.01110911552461875,-0.4739212989807129,0.09175554662942886,-0.8757736086845398
69,69,1,0.9982297,56.56370590106841,-54.72504709686583,668.6098570823866,1.4479388934399768,-0.018293236342543106,-0.4641754925251007,0.0901910588145256,-0.8811394572257996
70,70,1,0.9985734,55.568241040169035,-55.03021050960056,668.5238791493324,1.4349787907316616,-0.02973405994659135,-0.45585620403289795,0.08690440654754639,-0.8858006000518799
71,71,1,0.9987393,54.93525397278692,-56.07482303259937,666.4516143340003,1.4063531489680898,-0.05084562202475337,-0.4398212730884552,0.08170923590660095,-0.8943606019020081
72,72,1,0.9990312,54.71832315733937,-56.27446924124422,669.734996272185,1.3958489542792683,-0.06397280419648425,-0.43156737089157104,0.07706434279680252,-0.8987829089164734
