,frame,f_found,f_confidence,face_centerx,face_centery,face_centerz,2d_x,2d_y,3d_x,3d_y,3d_z
0,0,1,0.9990735,-170.57999192833483,-27.769284297197405,581.807348348497,1.168222577968157,0.8588733110608073,-0.42271,0.4003224,-0.8130549
1,1,1,0.9990823,-168.97442764268794,-30.255592773903597,589.4770921471335,1.1706290935221486,0.9369531548009956,-0.41779724,0.42431027,-0.8033718
2,2,1,0.99927527,-164.95838856543193,-33.22967359731868,591.0225966605849,1.0914241981612618,0.8827133792149398,-0.3828424,0.4164258,-0.824634
3,3,1,0.99966276,-154.42914402396,-40.528356455544014,595.0857501683658,0.9995030715033528,0.8463254517135664,-0.34398115,0.41700152,-0.8413006
4,4,1,0.999803,-141.01888950573553,-48.05997097898068,606.2101993568562,0.8055883425286705,0.7153358958526437,-0.24696642,0.38736078,-0.8882338
5,5,1,0.9999505,-115.36768404999476,-56.32250467632148,611.7375786882038,0.5853045110976568,0.6014208444609845,-0.14234586,0.3605958,-0.92179626
6,6,1,0.99994063,-84.22669266177186,-63.06945261767268,615.4648433121755,0.3189730754667474,0.5002060664280076,-0.00763416,0.33116177,-0.94354314
7,7,1,0.9998264,-57.3532349568979,-68.46547982212515,626.9488032843201,0.12337516097601534,0.4335672297151688,0.08630356,0.30478737,-0.9485022
8,8,1,0.9997874,-35.01761218673119,-71.14935498103252,639.983356676146,-0.08759759464202223,0.43794203573871826,0.1928161,0.29778248,-0.93495864
9,9,1,0.99950933,-20.38174855257787,-72.98359516540886,647.5652098729984,-0.22493686960586187,0.3893532597774388,0.25797188,0.2733533,-0.92667603
10,10,1,0.99908996,-7.580920846241376,-75.18951876230075,667.3188771210284,-0.39027437550799626,0.42434043043626785,0.33215463,0.27295542,-0.9028669
11,11,1,0.9978656,2.719016939925652,-76.62400659057005,687.5165403844027,-0.43458977489955103,0.5451716578000564,0.3352229,0.30721596,-0.89064246
12,12,1,0.9979499,11.168003306481532,-77.44899921061293,696.7420119496929,-0.5554671263853027,0.3665514680896202,0.38729888,0.23821098,-0.8906488
13,13,1,0.99615794,18.6778293806135,-77.81636909874965,702.8913134387739,-0.5861337135358452,0.1007174381672958,0.39154288,0.14615451,-0.9084785
14,14,1,0.99444526,26.329635811049403,-78.69887118318691,708.4029034174158,-0.6724180847309439,-0.13385716091097194,0.4205013,0.064161465,-0.9050205
15,15,1,0.9926563,33.003936250956976,-79.16233522838415,715.2731697401501,-0.8007456138966582,-0.2226423950677794,0.46815434,0.031754833,-0.883076
16,16,1,0.9914398,36.927514462796786,-78.2373391734716,702.5202823080352,-0.9161934390406186,-0.24245506253660812,0.5200241,0.02199984,-0.85386825
17,17,1,0.9943177,39.26978695514631,-76.48229473435002,683.058257429953,-0.985055029189712,-0.20132765074737816,0.5572375,0.03189918,-0.8297402
18,18,1,0.9947314,41.03462555458149,-76.11987492648865,681.3976686274336,-0.9719631014114042,-0.06880804880872797,0.55434006,0.07455408,-0.82894444
19,19,1,0.99371886,42.41568186504803,-75.71774277110903,682.9490116679099,-0.9714339239903195,0.0757021661986898,0.5540363,0.12061227,-0.82370895
20,20,1,0.992967,43.0473530708988,-74.47031523158542,672.7107811182095,-1.0862741840150247,0.22492445869959143,0.6033534,0.16117564,-0.7810167
21,21,1,0.9943032,42.91605173319608,-75.76949393358167,674.8572065225875,-1.160133920694906,0.3008084321339312,0.6274093,0.18049861,-0.7574813
22,22,1,0.99555653,41.217365076815575,-76.1805548122488,669.136431838365,-1.0491168948905363,0.3420294331699601,0.59250057,0.20270722,-0.7796492
23,23,1,0.996908,38.88511752099185,-76.88826239878445,671.8828180276445,-0.964545532579767,0.3852698065947431,0.5599856,0.22294863,-0.79794115
24,24,1,0.9978492,36.46101595313191,-76.837296092681,664.74355877786,-0.979343852691802,0.4692166146583018,0.5705814,0.2492384,-0.78250694
25,25,1,0.996666,32.87728831373487,-77.49862263559436,660.4365767458557,-1.319700986563342,0.3639475387438536,0.6894283,0.18979208,-0.69904757
