,frame,f_found,f_confidence,face_centerx,face_centery,face_centerz,2d_x,2d_y,3d_x,3d_y,3d_z
0,0,1,0.99922097,17.777486228869623,-43.04153495932806,692.2853288323746,0.29634586116707706,0.7395604627878621,-0.12839253,0.352797,-0.9268493
1,1,1,0.9994388,25.667508022839314,-44.75629764191675,675.7599117276721,0.21207585681492847,0.8802740285715513,-0.08705275,0.41044652,-0.9077199
2,2,1,0.9998652,35.11181677373162,-47.38653173123919,658.2077436236937,-0.0268158925554091,0.7792793148339715,0.05159529,0.38823828,-0.92011356
3,3,1,0.99989784,57.605717651939464,-53.68658352294829,673.762358517642,-0.17224121330285866,0.7280828136535125,0.11219776,0.36764753,-0.92317224
4,4,1,0.9997712,73.84307050732757,-59.18297541362703,682.1285215474063,-0.3387154925150852,0.7061380821217653,0.19267268,0.35709006,-0.9139825
5,5,1,0.9995223,87.15214253463357,-64.72225162608987,712.0959659880369,-0.5228485138649431,0.7442495121011008,0.274531,0.35394725,-0.894066
6,6,1,0.9992404,92.32662675422777,-68.3572855229104,727.74772061637,-0.5590183811513983,0.7673144674443053,0.28263384,0.35722134,-0.8902309
7,7,1,0.99920326,94.79908119178542,-71.11671742326219,739.3890292026884,-0.48677123443834747,0.7474410056379104,0.23650697,0.35404965,-0.9048278
8,8,1,0.9993734,93.9493653678533,-72.92246151965435,737.2335714165803,-0.320529526965376,0.7203776524317599,0.1434406,0.35609144,-0.92337626
9,9,1,0.99928385,88.29193016544565,-75.15326261758534,737.6661436816262,-0.1028603355849266,0.6785789484300455,0.022254556,0.3501724,-0.93642086
10,10,1,0.9992693,83.57840742047962,-77.4027933976097,733.5500210989043,0.0771848311103662,0.6196314154099383,-0.07858334,0.3358305,-0.9386386
11,11,1,0.99888843,79.17802873300272,-79.28480558596765,735.4016972114595,0.19450994871450286,0.5256371831140699,-0.14176743,0.3055422,-0.9415657
12,12,1,0.9991217,75.92705248974575,-80.6765463446299,740.823017516583,0.2799649352086971,0.38136248671732875,-0.18664345,0.2569117,-0.94824076
13,13,1,0.99930286,73.41651839802687,-81.22268355907227,745.4237487290493,0.30797934321351284,0.24907810023212584,-0.19949283,0.21242006,-0.95659834
