,Frame_total,Keyboard,Keyboard_Percentage,Name,Patient,Patient_Percentage,Screen,Screen_Percentage,Above Screen,Above Screen_Percentage
35,6272.0,119.0,0.018973214285714284,D2_Virtual-04-02-2022__15_38_24,4734.0,0.7547831632653061,1419.0,0.2262436224489796,,
36,9614.0,358.0,0.037237362180153936,D2_Virtual-04-02-2022__15_53_28,7182.0,0.7470355731225297,2073.0,0.21562304971915955,1.0,0.00010401497815685458
37,21034.0,624.0,0.029666254635352288,D2_Virtual-04-02-2022__16_04_51,17420.0,0.8281829419035847,2990.0,0.14215080346106304,,
38,7889.0,635.0,0.08049182405881608,D2_Virtual-04-02-2022__16_28_41,4135.0,0.5241475472176448,3119.0,0.3953606287235391,,
39,16003.0,728.0,0.045491470349309504,D2_Virtual-04-02-2022__16_52_13,9687.0,0.6053240017496719,5588.0,0.34918452790101856,,
40,16384.0,580.0,0.035400390625,D2_Virtual-04-03-2022__15_17_00,12710.0,0.7757568359375,3067.0,0.18719482421875,27.0,0.00164794921875
41,12343.0,1723.0,0.1395932917443085,D2_Virtual-04-03-2022__15_37_44,8624.0,0.6986956169488779,1982.0,0.16057684517540305,14.0,0.001134246131410516
42,18267.0,2046.0,0.11200525537855148,D2_Virtual-04-03-2022__15_54_19,11950.0,0.6541851426068868,4262.0,0.23331691027535995,9.0,0.0004926917392018393
43,6992.0,941.0,0.13458237986270022,D2_Virtual-04-03-2022__16_16_12,4074.0,0.5826659038901602,1967.0,0.2813215102974828,10.0,0.0014302059496567505
44,20529.0,1794.0,0.08738857226362706,D2_Virtual-04-03-2022__16_24_07,12477.0,0.6077743679672658,6237.0,0.3038141166155195,21.0,0.0010229431535876078
45,7162.0,212.0,0.02960067020385368,D2_Virtual-04-03-2022__16_49_27,4463.0,0.6231499581122592,2485.0,0.34697012007819045,2.0,0.0002792516056967328
46,8166.0,325.0,0.039799167278961545,D2_Virtual-04-03-2022__16_59_03,6083.0,0.7449179524859172,1752.0,0.2145481263776635,6.0,0.0007347538574577517
47,19193.0,648.0,0.033762309175220134,D2_Virtual-04-03-2022__17_24_49,10922.0,0.5690616370551763,7553.0,0.3935288907414161,70.0,0.00364716302818736
48,13639.0,733.0,0.053742943031014005,D2_Virtual-11-02-2022__16_00_57,7000.0,0.5132341080724393,5905.0,0.4329496297382506,1.0,7.331915829606276e-05
49,12356.0,750.0,0.060699255422466826,D2_Virtual-11-02-2022__16_19_07,8213.0,0.6646973130462933,3389.0,0.2742797021689867,4.0,0.0003237293622531564
50,10642.0,722.0,0.06784439015222703,D2_Virtual-11-02-2022__16_34_33,5988.0,0.5626761886863372,3932.0,0.36947942116143584,,
51,8306.0,428.0,0.0515290151697568,D2_Virtual-11-02-2022__16_46_51,6197.0,0.7460871659041657,1681.0,0.20238381892607754,,
52,12656.0,477.0,0.03768963337547408,D2_Virtual-11-02-2022__16_59_01,7652.0,0.604614412136536,4526.0,0.35761694058154236,1.0,7.901390644753477e-05
