,frame,f_found,f_confidence,face_centerx,face_centery,face_centerz,2d_x,2d_y,3d_x,3d_y,3d_z
0,0,1,0.965375,287.34246039479495,-48.68336576118788,682.0707246002414,-0.7373488015683854,0.18640611709567076,0.66079545,0.17764686,-0.72924006
1,1,1,0.99051964,273.22439593590155,-50.974127575935995,660.4951613428095,-0.6802270254438029,0.5783188381697608,0.6498608,0.31871945,-0.6899992
2,2,1,0.99510705,263.06431205307746,-48.80223697112271,661.9998024319908,-0.6080083042644274,0.49569277945191764,0.63283336,0.2930156,-0.7167035
3,3,1,0.9969361,251.07136845953235,-50.81486909245459,679.0540751555965,-0.5458875765493553,0.49189546677851553,0.60722375,0.29266366,-0.73866594
4,4,1,0.99775666,242.43770603144878,-51.4078522166522,708.8391361129035,-0.38561613866151756,0.48908444815975005,0.52692693,0.29582942,-0.79676414
5,5,1,0.9911506,227.02366732390502,-50.929120293530794,721.954116398651,-0.239174829208237,0.4261879023330137,0.4623975,0.27622,-0.84255034
6,6,1,0.98965585,213.96185018812056,-48.907536838065944,736.7459513222007,-0.11339845597529587,0.40268950479367777,0.39969453,0.2655191,-0.8773505
7,7,1,0.9906866,207.8983521095937,-47.042533378262725,758.3525016264881,-0.03015460385435134,0.33642762611421645,0.3495245,0.23480798,-0.90702695
8,8,1,0.9958205,202.60821397938454,-46.370249845931255,766.972564482869,0.022242154898980977,0.2651245691665814,0.32151034,0.20584534,-0.9242612
9,9,1,0.9957508,201.47074707790395,-47.50665368171919,780.7032976611936,0.04765531829571107,0.2588070457239323,0.30216676,0.2019207,-0.931624
10,10,1,0.9954521,196.22286771331912,-45.360004207128874,765.0496395799677,0.07734926493511197,0.26624051508396657,0.29546094,0.20594838,-0.9328923
11,11,1,0.99690956,202.54661858640975,-45.461082221818515,783.5486829543567,0.06212933528728279,0.26107904724631825,0.2911419,0.19990239,-0.9355616
12,12,1,0.99704903,200.69400051118953,-44.097769925321124,776.1393607839101,0.06703693088071506,0.25798758058239424,0.2929636,0.19877146,-0.9352338
13,13,1,0.9953257,213.30541268149148,-47.72966807253355,803.4938399296651,0.04474759671439568,0.2526945304024893,0.28267798,0.19546713,-0.93908775
14,14,1,0.9874607,216.8794318226562,-47.14622105564757,803.2782770823093,0.05965395241475445,0.28451778598862515,0.26919085,0.20682421,-0.94061685
15,15,1,0.9840566,200.7667078324134,-38.033890721168945,736.1235527235209,0.1401004417580214,0.30156797176410116,0.25891405,0.21934237,-0.94066596
16,16,1,0.9857195,208.07081632311142,-37.323537636767064,740.1693789788604,0.127824485720799,0.341716579379453,0.25600073,0.23358731,-0.9380301
17,17,1,0.9872034,206.61764040472394,-39.17516089806737,730.9079983167568,0.1589329549843821,0.3963540243419035,0.23835263,0.26095223,-0.9354635
18,18,1,0.9881216,207.94140080557762,-40.303814073414465,727.4511037042262,0.16889073151913866,0.47926217610709776,0.22881521,0.29678687,-0.9271253
19,19,1,0.98974645,199.80011347035247,-36.91331886459888,694.3467109883755,0.20889680756687576,0.5090440886894004,0.22046782,0.31781194,-0.9221657
20,20,1,0.98954177,191.74645572111035,-33.73326728733049,665.0434941653917,0.22733501291445127,0.5609931915065585,0.22568525,0.34797603,-0.9099335
21,21,1,0.99694014,188.4155951630856,-32.65613605691585,656.6382534218588,0.2837413678617603,0.5850025410988448,0.18873289,0.36197394,-0.9128827
22,22,1,0.9991196,174.72204321182735,-30.54355174092076,624.5273499255876,0.3754498998642608,0.585769533235366,0.1429718,0.37685722,-0.9151709
23,23,1,0.9990433,154.9754273707367,-24.815531563240924,593.1151715729985,0.4988041178179708,0.5560817909502748,0.074132435,0.37190583,-0.9253056
24,24,1,0.9993625,132.50402361577014,-24.452286701218316,577.9889197266402,0.6411908647693565,0.4677377176095257,-0.015562022,0.33295405,-0.9428146
25,25,1,0.99866235,105.56012739492051,-24.598676397728596,557.0650228197917,0.7960159075803762,0.3326439672830248,-0.11409133,0.26691133,-0.9569438
26,26,1,0.9970847,79.40590029313053,-22.394696730161158,528.2305287029371,0.9525794863166291,0.240567814839307,-0.22332533,0.21542278,-0.9506413
27,27,1,0.99359834,57.34087747762024,-18.184367734505525,520.3653350299339,1.105822730069038,0.14825509409902002,-0.32660902,0.14827462,-0.9334566
28,28,1,0.9760448,37.3067985897793,-13.509747685009422,508.14220202969864,1.2027825701918524,0.011476405843546401,-0.37889677,0.061665226,-0.92338216
