,Patient,Screen,Keyboard,Above Screen,Frame_total,Name,Patient_Percentage,Screen_Percentage,Keyboard_Percentage,Above Screen_Percentage
0,3940,3753,2018,159,9870,D3_Presential-24-03-2022__08_59_19,0.3991894630192502,0.3802431610942249,0.2044579533941236,0.0161094224924012
1,8686,3386,3442,122,15636,D3_Presential-24-03-2022__09_11_15,0.5555129189050908,0.2165515477104118,0.2201330263494499,0.0078025070350473
2,3484,8547,2658,148,14837,D3_Presential-24-03-2022__11_00_16,0.2348183595066388,0.5760598503740648,0.1791467277751567,0.0099750623441396
3,3758,2861,2196,59,8874,D3_Presential-24-03-2022__11_26_48,0.4234843362632409,0.322402524228082,0.2474645030425963,0.0066486364660806
4,3859,3882,2899,127,10767,D3_Presential-24-03-2022__11_39_15,0.3584099563481007,0.3605461131234327,0.2692486300733723,0.0117953004550942
5,8447,6304,6799,125,21675,D3_Presential-24-03-2022__11_52_37,0.3897116493656286,0.2908419838523645,0.313679354094579,0.0057670126874279
6,2880,8150,2694,105,13829,D3_Presential-24-03-2022__12_19_54,0.2082580085327934,0.589341239424398,0.1948080121483838,0.0075927398944247
7,2964,5794,1735,36,10529,D3_Presential-24-03-2022__12_47_31,0.2815082154050717,0.5502896761325862,0.1647829803400133,0.0034191281223288
8,7549,6710,3689,145,18093,D3_Presential-24-03-2022__14_07_39,0.4172331841043497,0.3708616592052174,0.2038910075719891,0.0080141491184435
9,3292,6368,3134,175,12969,D3_Presential-24-03-2022__14_29_51,0.2538360706299638,0.4910170406353612,0.2416531729508828,0.0134937157837921
10,4223,3685,1251,194,9353,D3_Presential-24-03-2022__14_56_39,0.45151288356677,0.3939912327595424,0.1337538757617876,0.0207420079118999
11,1758,3677,1718,175,7328,D3_Presential-24-03-2022__15_09_17,0.2399017467248908,0.5017740174672489,0.234443231441048,0.0238810043668122
12,2301,2955,935,154,6345,D3_Presential-24-03-2022__15_42_24,0.3626477541371158,0.4657210401891253,0.1473601260835303,0.0242710795902285
13,3949,4910,1466,103,10428,D3_Presential-24-03-2022__16_22_02,0.3786919831223628,0.4708477176831607,0.1405830456463367,0.0098772535481396
14,4629,2420,1620,90,8759,D3_Presential-24-03-2022__16_47_34,0.5284849868706474,0.2762872474026715,0.1849526201621189,0.0102751455645621
15,4877,4828,3159,133,12997,D3_Presential-24-03-2022__17_02_50,0.3752404401015619,0.3714703393090713,0.2430560898668923,0.0102331307224744
16,3610,5080,1706,56,10452,D3_Presential-24-03-2022__17_44_25,0.3453884424033678,0.4860313815537696,0.1632223497895139,0.0053578262533486
17,11389,6971,7704,108,26172,D3_Presential-28-03-2022__15_47_59,0.435159712670029,0.2663533547302461,0.2943603851444291,0.0041265474552957
18,4105,9159,5615,73,18952,D3_Presential-28-03-2022__16_27_24,0.216599831152385,0.4832735331363444,0.2962747994934571,0.0038518362178134
19,12672,8444,5882,57,27055,D3_Presential-28-03-2022__16_54_12,0.468379227499538,0.31210497135464793,0.21740898170393644,0.0021068194418776567
