,timestamp,gaze360_res,gaze360_x,gaze360_y
0,0:0:0.00,Screen,1.319660361618811,0.9085786401984934
1,0:0:0.07,Screen,1.2135723587638705,0.91664032953775
2,0:0:0.13,Screen,1.0249766207099793,0.9524422223569018
3,0:0:0.20,Screen,0.7703199326583746,0.9510165934229972
4,0:0:0.27,Screen,0.4388034767505445,0.8836266952080958
5,0:0:0.33,Screen,0.14414882563974402,0.8206473164212708
6,0:0:0.40,Screen,-0.15967771452789012,0.7536400877714174
7,0:0:0.47,Screen,-0.36284715435988907,0.7967700550543158
8,0:0:0.53,Screen,-0.4592856946331452,0.8738687947876537
9,0:0:0.60,Screen,-0.46333079026653795,0.9287908977189924
10,0:0:0.67,Screen,-0.4229322301350169,0.9811694519613284
11,0:0:0.73,Screen,-0.3542976301183899,0.990498619138834
12,0:0:0.80,Screen,-0.3162089269595724,0.9736131956634838
13,0:0:0.87,Screen,-0.27742597694127274,0.9239446413256234
14,0:0:0.93,Screen,-0.25639812438221843,0.8998399047844052
15,0:0:1.00,Screen,-0.2529978373084021,0.8984131238796531
16,0:0:1.07,Screen,-0.26674661512577746,0.9302618251372528
17,0:0:1.13,Screen,-0.2756446739513477,0.9598020008745359
18,0:0:1.20,Screen,-0.2903185760890753,0.98098512277657
19,0:0:1.27,Screen,-0.30038895032709306,0.9767064391408116
20,0:0:1.33,Screen,-0.3166177286843145,0.9426888251564894
21,0:0:1.40,Screen,-0.3486154813167519,0.9012711729187716
22,0:0:1.47,Screen,-0.3950751938445493,0.8553368086297586
23,0:0:1.53,Screen,-0.4389726378640517,0.8081079276653337
24,0:0:1.60,Patient,-0.5070541414872052,0.6320166283574526
25,0:0:1.67,Patient,-0.5611889404646103,0.4390285762807111
26,0:0:1.73,Patient,-0.6304118481632853,0.26681827348961595
27,0:0:1.80,Patient,-0.7039735785726063,0.16903333641406004
28,0:0:1.87,Patient,-0.7851905916511444,0.1652252664872664
29,0:0:1.93,Patient,-0.8183996534682194,0.14806287124742967
30,0:0:2.00,Patient,-0.8631458996607891,0.22104095941118412
31,0:0:2.07,Patient,-0.8975805959131409,0.4857685734410609
