,frame,f_found,f_confidence,face_centerx,face_centery,face_centerz,2d_x,2d_y,3d_x,3d_y,3d_z
0,0,1,0.9996494,-138.61110107424636,-9.669336857528554,551.8541950126104,1.722190030684292,2.0587193744024628,-0.59512115,0.60881364,-0.52457315
1,1,1,0.99977237,-123.91439258930798,-12.710596189247491,543.4003866534017,1.0809788538609504,1.807691450343401,-0.3880937,0.6645614,-0.63854647
2,2,1,0.99965656,-108.40065769772474,-15.842727571268972,547.565643837746,0.6410759148968691,1.3164212914717457,-0.18602338,0.5897526,-0.78586715
3,3,1,0.999676,-69.90790301146977,-24.83880016592252,559.6357068394904,0.3239721426446745,0.8762121807910069,-0.031421524,0.45435348,-0.8902672
4,4,1,0.99956006,-46.03342659447941,-29.807140301374005,555.4301671842201,0.028317227705650816,0.5627195835379191,0.15261263,0.3325377,-0.93066
5,5,1,0.9985788,-34.38608890933981,-30.633159625158513,553.6970879705492,-0.11930544775273397,0.31029931166659225,0.2452588,0.21799368,-0.94463056
6,6,1,0.9986419,-30.736061305316827,-30.670114222679548,570.129118449991,-0.15973371058320454,0.12804945695779427,0.26077405,0.13132325,-0.95642626
7,7,1,0.9997003,-28.864667907630906,-28.55207794972549,577.9560561723337,-0.11439336754504509,-0.03043463408929503,0.21995616,0.05925088,-0.9737087
8,8,1,0.99961805,-26.801748465281303,-27.379028609272478,585.6503782949795,-0.0905739235985452,-0.2122057374353747,0.19318688,-0.020224312,-0.9809536
9,9,1,0.99972266,-24.33669119154553,-26.11237081027564,580.5565025303335,-0.13427359336236722,-0.26318363269855066,0.22055593,-0.04477595,-0.974346
10,10,1,0.9998311,-20.92733298299599,-24.427756635557177,577.087936867,-0.20576341857148028,-0.23138375712272768,0.26735398,-0.03555969,-0.962942
11,11,1,0.9997869,-18.594857408382705,-21.944123471160122,573.5823867882557,-0.24177216414480948,-0.21773758499757326,0.29039726,-0.034585305,-0.95628095
12,12,1,0.9997124,-17.223093307060253,-19.480639804596148,570.745122837541,-0.2918603661115811,-0.1610744622800735,0.32521066,-0.015643219,-0.94551224
13,13,1,0.9996536,-15.853126347164888,-17.727157031218585,563.2294339105812,-0.310301006606787,-0.038312764819367386,0.3430671,0.03360624,-0.9387095
14,14,1,0.9996599,-15.826940305660818,-15.815807603494891,561.0598134271478,-0.31476263429536866,0.12924736987286245,0.35100612,0.103311494,-0.9306565
