,timestamp,gaze360_res,gaze360_x,gaze360_y
0,0:0:0.00,Screen,2.1192586486723126,4.105512290990945
1,0:0:0.07,Screen,2.3829443929476386,3.908007938469956
2,0:0:0.13,Screen,2.788577227282642,3.3239253690706723
3,0:0:0.20,Screen,2.635248963112696,2.9266372233074147
4,0:0:0.27,Screen,2.4701377923899366,2.1358773793280266
5,0:0:0.33,Screen,2.5242452152201325,1.663682207680321
6,0:0:0.40,Screen,2.9665204135784786,1.5988230298606392
7,0:0:0.47,Screen,3.0386644396678064,1.1807224747926521
8,0:0:0.53,Screen,3.3673503230287007,1.1425870306735362
9,0:0:0.60,Screen,2.967100849337092,0.9135367762076276
10,0:0:0.67,Screen,2.455008393457273,0.7674610654912775
11,0:0:0.73,Screen,2.2977033720936126,0.5934902049288966
12,0:0:0.80,Screen,1.9612633115519915,0.5872000368652065
13,0:0:0.87,Screen,1.3998161005871363,0.4278932328485186
14,0:0:0.93,Above Screen,1.0337058086185738,0.2932427008643478
15,0:0:1.00,Above Screen,0.6119483350134698,0.1775050043477589
16,0:0:1.07,Above Screen,0.4734888634951832,0.17697344329400427
17,0:0:1.13,Above Screen,0.3265003297519465,0.2736850195330067
18,0:0:1.20,Screen,0.16791569871799594,0.5843732186742078
19,0:0:1.27,Patient,-0.07515717565952076,1.0806071099264185
20,0:0:1.33,Patient,-0.3153181696925823,1.7258237670184842
21,0:0:1.40,Patient,-0.4966815941447563,2.3215595226934416
22,0:0:1.47,Patient,-0.7498468253275107,2.884325573487978
23,0:0:1.53,Patient,-0.8198128986912665,2.7215708641810004
24,0:0:1.60,Patient,-0.8612112275396812,2.2720303711751773
25,0:0:1.67,Patient,-0.9486831175702884,1.9670400456357484
26,0:0:1.73,Patient,-1.1908355208401276,1.7781126159140406
27,0:0:1.80,Patient,-1.4784896020422849,1.5032480032036293
28,0:0:1.87,Patient,-3.0351458277131265,1.611064182912772
29,0:0:1.93,Patient,-3.105609989688848,0.11248346868048932
30,0:0:2.00,Patient,-2.4807330212494145,-0.7475281533334345
31,0:0:2.07,Patient,-2.304102285829253,-1.194252012992956
32,0:0:2.13,Patient,-2.1782079202241995,-1.6060027696208277
33,0:0:2.20,Patient,-2.1931476520266413,-1.8357300670157064
34,0:0:2.27,Patient,-2.1572007377377544,-1.5539491149433042
35,0:0:2.33,Patient,-3.22005385597614,-1.4210332221830464
36,0:0:2.40,Patient,-3.120019678777385,-0.9353993664125368
37,0:0:2.47,Patient,-2.3644412414413742,-0.6284626726896402
38,0:0:2.53,Patient,-2.3268852695520974,-0.7781961386197525
39,0:0:2.60,Patient,-2.4426307412383568,-1.1348345219348457
40,0:0:2.67,Patient,-2.6556330178500773,-1.4291979658285765
41,0:0:2.73,Patient,-2.8252057192684434,-1.6427759928579988
42,0:0:2.80,Patient,-2.774451568573416,-1.7587678523007209
43,0:0:2.87,Patient,-2.473611470990268,-1.7179246242142274
44,0:0:2.93,Patient,-2.564691491375619,-1.7369245707289274
45,0:0:3.00,Patient,-2.5146144121142657,-1.6021233124499676
46,0:0:3.07,Patient,-2.309907324826264,-1.4835206612460652
47,0:0:3.13,Patient,-2.2185950846946647,-1.2623726828674573
48,0:0:3.20,Patient,-4.237913563747107,-1.4375746497912174
49,0:0:3.27,Patient,-6.263355028572319,-1.4693426051488998
50,0:0:3.33,Patient,-10.703557798935226,-2.631603723015254
51,0:0:3.40,Patient,-7.020964436659945,-1.98270080830343
52,0:0:3.47,Patient,-5.029063653164104,-2.26384882831705
53,0:0:3.53,Patient,-5.672706336556032,-2.9616784537126835
54,0:0:3.60,Patient,-4.25107950780716,-1.7638815252905722
55,0:0:3.67,Patient,-3.3027245610752494,-0.9059296996783937
56,0:0:3.73,Patient,-3.3294502190939026,-0.5815650696342426
57,0:0:3.80,Patient,-4.052018299025454,-0.30359412526659896
58,0:0:3.87,Patient,-3.9602523122224347,-0.5412759678079618
59,0:0:3.93,Patient,-2.9076912798571177,-0.5429253856641788
60,0:0:4.00,Patient,-2.6972301421316276,-0.4602580279307902
61,0:0:4.07,Patient,-3.6428147844019536,-0.4505328264603688
62,0:0:4.13,Patient,-6.162807583082367,-0.7891223691698774
63,0:0:4.20,Patient,-11.337809244386476,-0.9113246396275906
64,0:0:4.27,Screen,12.421080274249187,2.126439653083374
65,0:0:4.33,Patient,20.34774314156955,6.508385823783812
66,0:0:4.40,Patient,,
67,0:0:4.47,Patient,-214.36551535819697,-91.26774249315471
68,0:0:4.53,Patient,13.342272782109244,3.8052271386011385
69,0:0:4.60,Patient,,
70,0:0:4.67,Patient,1.191146375555799,-0.08380870983452034
71,0:0:4.73,Patient,,
72,0:0:4.80,Patient,-0.8649486072125713,-0.4228092568544468
73,0:0:4.87,Patient,,
74,0:0:4.93,Patient,-0.7360184514860032,0.4116079939303299
75,0:0:5.00,Patient,0.7833377089825267,0.930967074886744
76,0:0:5.07,Patient,1.7748920359246871,1.2249614806782632
77,0:0:5.13,Patient,,
78,0:0:5.20,Patient,,
79,0:0:5.27,Patient,,
80,0:0:5.33,Patient,,
81,0:0:5.40,Patient,,
82,0:0:5.47,Patient,,
83,0:0:5.53,Patient,,
84,0:0:5.60,Patient,1.5387081150602635,0.055387570144651115
85,0:0:5.67,Patient,,
86,0:0:5.73,Patient,1.2744404459449148,-0.3347051789813214
87,0:0:5.80,Patient,,
88,0:0:5.87,Patient,,
89,0:0:5.93,Patient,,
90,0:0:6.00,Patient,-1.1231839670756425,0.8823265039227762
91,0:0:6.07,Patient,,
92,0:0:6.13,Patient,,
93,0:0:6.20,Patient,,
94,0:0:6.27,Patient,,
95,0:0:6.33,Patient,,
96,0:0:6.40,Patient,,
97,0:0:6.47,Patient,,
98,0:0:6.53,Patient,0.3166613428162561,0.6572220222617522
99,0:0:6.60,Patient,,
100,0:0:6.67,Patient,,
101,0:0:6.73,Patient,0.1659565730692845,0.3680692142807877
102,0:0:6.80,Patient,,
103,0:0:6.87,Patient,,
104,0:0:6.93,Patient,,
105,0:0:7.00,Patient,,
106,0:0:7.07,Patient,,
107,0:0:7.13,Patient,,
108,0:0:7.20,Patient,,
109,0:0:7.27,Patient,,
110,0:0:7.33,Patient,,
111,0:0:7.40,Patient,,
112,0:0:7.47,Patient,,
113,0:0:7.53,Patient,,
114,0:0:7.60,Patient,-1.7706809602162958,-0.7194715752956198
115,0:0:7.67,Patient,-1.870833961504828,-0.7007559473814811
116,0:0:7.73,Patient,-1.674838187098979,-0.7120077298458068
117,0:0:7.80,Patient,-2.1434759856229872,-0.8637159800228941
118,0:0:7.87,Patient,,
119,0:0:7.93,Patient,-1.966470563128424,-0.6093350163533034
120,0:0:8.00,Patient,-2.2748828774530825,-0.6728282445636915
121,0:0:8.07,Patient,-1.7813027424476293,-0.5586688107241468
122,0:0:8.13,Patient,-1.1793154112540352,-0.5036308760467089
123,0:0:8.20,Patient,-1.2155794484457656,-0.6078404697228947
124,0:0:8.27,Patient,-1.1671562540762157,-0.6401799969804617
125,0:0:8.33,Patient,-1.3551823670452934,-0.9402474944210506
126,0:0:8.40,Patient,-1.67125659567943,-1.015407448885408
127,0:0:8.47,Patient,-1.318405867443871,-0.9657022400504901
128,0:0:8.53,Patient,-1.2784126309030186,-0.5130764025631029
129,0:0:8.60,Patient,,
130,0:0:8.67,Patient,-2.7619829572491974,-0.09804756441002703
131,0:0:8.73,Patient,-1.0452074861909526,0.05233192045157793
132,0:0:8.80,Patient,-1.1396239586637884,-0.2815205321714315
133,0:0:8.87,Patient,-1.247160360998814,-0.14169434686363114
134,0:0:8.93,Patient,,
135,0:0:9.00,Patient,-4.838842558232339,-2.4819209741296677
136,0:0:9.07,Patient,,
137,0:0:9.13,Patient,,
138,0:0:9.20,Patient,-1.5067628107183169,-0.7983666844522272
139,0:0:9.27,Patient,-1.4245455453651974,-0.8850446089498921
140,0:0:9.33,Patient,-1.4322742383857223,-0.8444506444302091
141,0:0:9.40,Patient,-1.3257785882721664,-0.8497995372674829
142,0:0:9.47,Patient,-2.1862073217328195,-1.5055540137241132
143,0:0:9.53,Patient,,
144,0:0:9.60,Patient,-1.2427726428016337,-0.7325229173948177
145,0:0:9.67,Patient,-0.9657388519095256,-0.584869782842192
146,0:0:9.73,Patient,-1.1736179622714638,-0.6569993610340618
147,0:0:9.80,Patient,,
148,0:0:9.87,Patient,-1.4409252445362626,-0.5647642235183996
149,0:0:9.93,Patient,-1.2922180426752938,-0.6169097421263668
150,0:0:10.00,Patient,-1.4091306022567704,-0.5734964220447734
151,0:0:10.07,Patient,,
152,0:0:10.13,Patient,-1.094249944521582,-0.1214894207357747
153,0:0:10.20,Patient,-1.3079401513792326,0.5489912508238288
154,0:0:10.27,Patient,-1.4640278415712753,0.8922871931916216
155,0:0:10.33,Patient,-1.5223427433622858,0.9823487380944508
156,0:0:10.40,Patient,-1.5319989379040089,1.0742691894660978
157,0:0:10.47,Patient,-1.3474063697054035,0.6086391031593178
158,0:0:10.53,Patient,-1.8286849180546545,0.3700710163404095
159,0:0:10.60,Patient,-1.7100987968109995,-0.049287766401295036
160,0:0:10.67,Patient,-1.5697879610163616,-0.2218840435848003
161,0:0:10.73,Patient,-1.4543367677464143,-0.22269256923445188
162,0:0:10.80,Patient,-1.2743388370413231,-0.1879572401887322
163,0:0:10.87,Patient,-1.6666856617632415,-0.5223526133079041
