,Above Screen,Above Screen_Percentage,Frame_total,Keyboard,Keyboard_Percentage,Name,Patient,Patient_Percentage,Screen,Screen_Percentage
0,15.0,0.0047619047619047615,3150.0,31.0,0.009841269841269842,D12_Virtual-18-02-2022__09_29_12,1983.0,0.6295238095238095,1121.0,0.3558730158730159
1,23.0,0.007643735460285809,3009.0,47.0,0.015619807244931871,D12_Virtual-18-02-2022__09_39_42,2042.0,0.6786307743436357,897.0,0.2981056829511465
2,174.0,0.03640929064657878,4779.0,122.0,0.02552835321196904,D12_Virtual-18-02-2022__09_58_33,3256.0,0.6813140824440259,1227.0,0.25674827369742625
3,9.0,0.001722488038277512,5225.0,133.0,0.02545454545454545,D12_Virtual-18-02-2022__10_05_31,3327.0,0.6367464114832536,1756.0,0.3360765550239234
4,71.0,0.013611963190184049,5216.0,159.0,0.030483128834355836,D12_Virtual-18-02-2022__10_13_31,3340.0,0.6403374233128835,1646.0,0.3155674846625767
5,21.0,0.00902061855670103,2328.0,8.0,0.003436426116838488,D12_Virtual-18-02-2022__10_34_49,1777.0,0.7633161512027491,522.0,0.22422680412371127
6,104.0,0.03061524874889608,3397.0,41.0,0.012069473064468648,D12_Virtual-18-02-2022__10_46_16,2457.0,0.72328525169267,795.0,0.2340300264939653
7,158.0,0.016797788645545396,9406.0,599.0,0.06368275568785882,D12_Virtual-18-02-2022__10_51_41,5354.0,0.5692111418243674,3295.0,0.3503083138422284
8,61.0,0.01481301602719767,4118.0,146.0,0.035454103933948516,D12_Virtual-18-02-2022__11_04_46,3043.0,0.7389509470616804,868.0,0.21078193297717326
9,198.0,0.02516842506673446,7867.0,118.0,0.014999364433710437,D12_Virtual-18-02-2022__11_41_40,5405.0,0.6870471590186856,2146.0,0.27278505148086946
10,,,4969.0,14.0,0.002817468303481586,D12_Virtual-25-02-2022__09_37_50,4349.0,0.8752264037029583,606.0,0.12195612799356008
11,4.0,0.001335559265442404,2995.0,,,D12_Virtual-25-02-2022__09_49_32,2398.0,0.8006677796327212,593.0,0.1979966611018364
12,,,3849.0,24.0,0.006235385814497272,D12_Virtual-25-02-2022__09_54_40,3459.0,0.8986749805144193,366.0,0.0950896336710834
13,44.0,0.005438141144481523,8091.0,132.0,0.016314423433444566,D12_Virtual-25-02-2022__10_01_10,5667.0,0.7004078605858362,2248.0,0.2778395748362378
14,6.0,0.0009226510841150238,6503.0,7.0,0.001076426264800861,D12_Virtual-25-02-2022__10_12_16,5527.0,0.8499154236506228,963.0,0.14808549900046133
15,43.0,0.008229665071770335,5225.0,121.0,0.023157894736842103,D12_Virtual-25-02-2022__10_22_06,4594.0,0.8792344497607656,467.0,0.08937799043062201
16,7.0,0.0015996343692870204,4376.0,15.0,0.0034277879341864715,D12_Virtual-25-02-2022__10_41_16,3933.0,0.8987659963436929,421.0,0.09620658135283364
17,5.0,0.0013620266957232359,3671.0,97.0,0.02642331789703078,D12_Virtual-25-02-2022__10_47_54,2892.0,0.7877962408063198,677.0,0.18441841460092612
18,,,5500.0,80.0,0.014545454545454544,D12_Virtual-25-02-2022__10_54_42,4534.0,0.8243636363636364,886.0,0.1610909090909091
19,4.0,0.000736105999263894,5434.0,206.0,0.03790945896209054,D12_Virtual-25-02-2022__11_23_05,4686.0,0.8623481781376519,538.0,0.09900625690099374
