,Above Screen,Above Screen_Percentage,Frame_total,Keyboard,Keyboard_Percentage,Name,Patient,Patient_Percentage,Screen,Screen_Percentage
0,1708.0,0.13425562018550544,12722.0,1987.0,0.1561861342556202,D6_Presential-06-04-2022__08_52_46,4897.0,0.3849237541267097,4130.0,0.3246344914321648
1,3070.0,0.16145997685915642,19014.0,2232.0,0.11738718838750395,D6_Presential-06-04-2022__09_25_55,8455.0,0.4446723466919113,5257.0,0.27648048806142844
2,1030.0,0.08940196163527471,11521.0,1025.0,0.08896797153024913,D6_Presential-06-04-2022__09_48_18,6706.0,0.5820675288603421,2760.0,0.2395625379741341
3,1790.0,0.09405212274064734,19032.0,3272.0,0.17192097519966373,D6_Presential-06-04-2022__10_01_57,8396.0,0.441151744430433,5574.0,0.29287515762925603
4,1698.0,0.16154504804490533,10511.0,2001.0,0.1903719912472648,D6_Presential-06-04-2022__10_24_16,4314.0,0.4104271715345828,2498.0,0.23765578917324706
5,2790.0,0.12641022155770015,22071.0,3500.0,0.1585791309863622,D6_Presential-06-04-2022__10_39_35,12383.0,0.5610529654297495,3398.0,0.1539576820261882
6,3160.0,0.1412858803541089,22366.0,3179.0,0.14213538406509882,D6_Presential-06-04-2022__11_29_59,10301.0,0.4605651435214164,5726.0,0.25601359205937585
7,1391.0,0.08151186639320246,17065.0,4135.0,0.24230881922062705,D6_Presential-06-04-2022__12_24_44,8748.0,0.5126281863463229,2791.0,0.16355112803984764
8,965.0,0.08725924586309793,11059.0,1394.0,0.12605118003436114,D6_Presential-06-04-2022__12_47_30,5198.0,0.4700244145040239,3502.0,0.31666515959851704
9,691.0,0.0704670609830716,9806.0,1418.0,0.14460534366714256,D6_Presential-06-04-2022__13_27_20,5103.0,0.5203956761166633,2594.0,0.2645319192331226
10,1942.0,0.1464555052790347,13260.0,1387.0,0.1046003016591252,D6_Presential-06-04-2022__15_35_22,7315.0,0.551659125188537,2616.0,0.1972850678733032
11,1903.0,0.1866235167206041,10197.0,1213.0,0.11895655584975973,D6_Presential-06-04-2022__15_57_59,5262.0,0.5160341276846131,1819.0,0.17838579974502305
12,1422.0,0.10823565230628712,13138.0,2296.0,0.17476023747906835,D6_Presential-06-04-2022__16_30_58,6855.0,0.5217689145988735,2565.0,0.19523519561577105
13,720.0,0.06712660824165577,10726.0,1579.0,0.14721238112996454,D6_Presential-06-04-2022__16_49_40,5442.0,0.507365280626515,2985.0,0.27829573000186464
14,1367.0,0.10717365738925913,12755.0,1322.0,0.10364562916503332,D6_Presential-06-04-2022__17_02_49,6559.0,0.5142297138377107,3507.0,0.27495099960799685
15,926.0,0.0895637876003482,10339.0,1172.0,0.11335719121771932,D6_Presential-06-04-2022__17_17_40,5652.0,0.5466679562820389,2589.0,0.2504110648998936
16,746.0,0.05327429836463615,14003.0,1935.0,0.1381846747125616,D6_Presential-06-04-2022__17_29_41,7905.0,0.5645218881668214,3417.0,0.2440191387559809
17,1420.0,0.06099656357388316,23280.0,2812.0,0.12079037800687285,D6_Presential-06-04-2022__17_47_50,16546.0,0.7107388316151203,2502.0,0.10747422680412372
18,1657.0,0.09627563767358087,17211.0,2390.0,0.13886467956539422,D6_Presential-06-04-2022__18_14_48,11123.0,0.6462727325547615,2041.0,0.11858695020626345
19,1972.0,0.0960966814482725,20521.0,2867.0,0.13971054042200673,D6_Presential-06-04-2022__18_34_50,13861.0,0.6754544125529945,1821.0,0.08873836557672628
