,Above Screen,Above Screen_Percentage,Frame_total,Keyboard,Keyboard_Percentage,Name,Patient,Patient_Percentage,Screen,Screen_Percentage
0,61.0,0.004747820672478207,12848.0,1161.0,0.0903642590286426,D12_Presential-19-04-2022__08_46_06,8760.0,0.6818181818181818,2866.0,0.2230697384806974
1,109.0,0.007087126137841351,15380.0,1826.0,0.1187256176853056,D12_Presential-19-04-2022__09_30_46,9943.0,0.6464889466840053,3502.0,0.22769830949284786
2,62.0,0.00411058807929457,15083.0,3160.0,0.20950739242856195,D12_Presential-19-04-2022__09_51_05,6199.0,0.4109925081217264,5662.0,0.3753895113704169
3,1150.0,0.042584706535826695,27005.0,2823.0,0.10453619700055546,D12_Presential-19-04-2022__11_01_28,16820.0,0.6228476208109609,6212.0,0.2300314756526569
4,133.0,0.007386426746640009,18006.0,2821.0,0.15666999888925914,D12_Presential-19-04-2022__11_32_07,11376.0,0.631789403532156,3676.0,0.2041541708319449
5,85.0,0.004492362982929021,18921.0,2270.0,0.11997251730881033,D12_Presential-19-04-2022__12_05_02,11050.0,0.5840071877807727,5516.0,0.29152793192748805
6,142.0,0.008362779740871613,16980.0,1739.0,0.102414605418139,D12_Presential-19-04-2022__12_26_32,10884.0,0.6409893992932862,4215.0,0.2482332155477032
7,52.0,0.007089297886843898,7335.0,997.0,0.13592365371506476,D12_Presential-19-04-2022__13_06_06,3301.0,0.4500340831629176,2985.0,0.4069529652351738
8,463.0,0.02171669793621013,21320.0,4679.0,0.21946529080675425,D12_Presential-19-04-2022__13_15_03,10590.0,0.4967166979362102,5588.0,0.26210131332082554
9,48.0,0.0039005363237445147,12306.0,1266.0,0.10287664553876158,D12_Presential-19-04-2022__13_41_21,6909.0,0.5614334470989761,4083.0,0.3317893710385178
10,103.0,0.007078064870808138,14552.0,1765.0,0.1212891698735569,D12_Presential-19-04-2022__13_55_45,10327.0,0.7096619021440352,2357.0,0.16197086311159978
11,297.0,0.035791757049891536,8298.0,808.0,0.09737286093034468,D12_Presential-19-04-2022__14_52_14,4035.0,0.4862617498192336,3158.0,0.3805736322005303
12,96.0,0.008055718721154653,11917.0,1276.0,0.10707392800201393,D12_Presential-19-04-2022__15_01_47,3162.0,0.2653352353780314,7383.0,0.6195351178988001
13,139.0,0.012668611009843235,10972.0,1640.0,0.14947138169886984,D12_Presential-19-04-2022__15_15_35,5494.0,0.500729128691214,3699.0,0.3371308786000729
14,183.0,0.011384845091452036,16074.0,936.0,0.05823068309070549,D12_Presential-19-04-2022__15_53_55,8959.0,0.5573597113350752,5996.0,0.3730247604827672
15,391.0,0.019096459096459097,20475.0,3503.0,0.17108669108669108,D12_Presential-19-04-2022__16_12_45,9827.0,0.47995115995115994,6754.0,0.3298656898656899
16,137.0,0.01365902293120638,10030.0,830.0,0.08275174476570289,D12_Presential-19-04-2022__16_36_10,5587.0,0.5570289132602193,3476.0,0.3465603190428714
17,261.0,0.01682026164851453,15517.0,1595.0,0.10279048785203324,D12_Presential-19-04-2022__17_12_23,6519.0,0.4201198685312881,7142.0,0.46026938196816397
18,135.0,0.01145718407875753,11783.0,832.0,0.0706102011372316,D12_Presential-19-04-2022__17_42_37,6415.0,0.5444284138165153,4401.0,0.3735042009674955
19,121.0,0.00820283370618941,14751.0,965.0,0.06541929360721307,D12_Presential-19-04-2022__17_56_21,11725.0,0.794861365331164,1940.0,0.13151650735543352
