,timestamp,gaze360_res,gaze360_x,gaze360_y
0,0:0:0.00,Screen,1.0400761148519118,-0.04151001899484672
1,0:0:0.07,Screen,0.9405406949482642,-0.05272228653576603
2,0:0:0.13,Screen,0.6561600338508823,0.16445652949320974
3,0:0:0.20,Screen,0.5694329049101695,0.3137974909794848
4,0:0:0.27,Screen,0.4800093367921621,0.4194313189962236
5,0:0:0.33,Screen,0.3385499260814307,0.5303614499073491
6,0:0:0.40,Screen,0.3090945390501569,0.5949173841530537
7,0:0:0.47,Screen,0.3159432972369057,0.5904282380253612
8,0:0:0.53,Screen,0.3101890510012065,0.5403962459263423
9,0:0:0.60,Screen,0.3024583100621208,0.5106699191644641
10,0:0:0.67,Screen,0.30451909153236506,0.5047037631139908
11,0:0:0.73,Screen,0.32795821704347483,0.5053131051463214
12,0:0:0.80,Screen,0.3896408806271204,0.5202680286512766
13,0:0:0.87,Screen,0.4397556858447509,0.5363655670893507
14,0:0:0.93,Screen,0.5017335329844795,0.5723773756246033
15,0:0:1.00,Screen,0.5549097403794039,0.6048254961283493
16,0:0:1.07,Screen,0.5536300287738278,0.6089069199374444
17,0:0:1.13,Screen,0.5354297270108411,0.6003453246738575
18,0:0:1.20,Screen,0.4805768221255664,0.5627272505684395
19,0:0:1.27,Screen,0.4161716774848521,0.5148026578725131
20,0:0:1.33,Screen,0.3522210469754587,0.4709784961878469
21,0:0:1.40,Screen,0.2965883600602776,0.4295765696317975
22,0:0:1.47,Screen,0.2654930374199219,0.40355236398234656
23,0:0:1.53,Screen,0.24323296598069266,0.3834994759428487
24,0:0:1.60,Screen,0.2254997131862658,0.3667530819540047
25,0:0:1.67,Screen,0.2134761820030016,0.3501729958817518
26,0:0:1.73,Screen,0.18836880730992653,0.3270622883949809
27,0:0:1.80,Screen,0.16972178094708126,0.3075547386120832
28,0:0:1.87,Screen,0.15822691229348765,0.2878926148530446
29,0:0:1.93,Screen,0.15571596630729864,0.2745151567282061
30,0:0:2.00,Screen,0.17375368376322126,0.26374836467186313
31,0:0:2.07,Screen,0.19755800599882076,0.25228663394139195
32,0:0:2.13,Screen,0.17323164922880607,0.2615611201102785
33,0:0:2.20,Screen,0.08508003040567423,0.2513732423601712
34,0:0:2.27,Screen,-0.07585449620972913,0.2358366938141212
35,0:0:2.33,Patient,-0.2212762156991796,0.16455810164152376
36,0:0:2.40,Patient,-0.3871266789870251,0.08111223355711357
37,0:0:2.47,Patient,-0.5771581385310527,-0.014692350476042804
38,0:0:2.53,Patient,-0.7643508377806569,-0.09391396305219422
39,0:0:2.60,Patient,-0.8749204486079933,-0.18797645515960645
40,0:0:2.67,Patient,-0.9381155950764222,-0.21213432288568065
41,0:0:2.73,Patient,-1.010532519428716,-0.2610437016335925
42,0:0:2.80,Patient,-1.1195988641407582,-0.28637395434451896
43,0:0:2.87,Patient,-1.2331020473185916,-0.33000608571313744
44,0:0:2.93,Patient,-1.3894292489215403,-0.36022193304276784
45,0:0:3.00,Patient,-1.5276574857089626,-0.4204900680498204
46,0:0:3.07,Patient,-1.6608654640843552,-0.4535456984538696
47,0:0:3.13,Patient,-1.7282104316284026,-0.4691665683960766
48,0:0:3.20,Patient,-1.7269336540417508,-0.3923301582810327
49,0:0:3.27,Patient,-1.7185931938721362,-0.29546914022731463
50,0:0:3.33,Patient,-1.78612589508506,-0.3005774984641135
51,0:0:3.40,Patient,-1.8132970413832223,-0.2887567561096296
52,0:0:3.47,Patient,-1.754562893938815,-0.3163724484303249
53,0:0:3.53,Patient,-1.6819852422922672,-0.39170003174620827
54,0:0:3.60,Patient,-1.5339390260005268,-0.4288214514333806
55,0:0:3.67,Patient,-1.373942079350687,-0.4629081821691777
56,0:0:3.73,Patient,-1.2572442220612638,-0.4828571717977199
57,0:0:3.80,Patient,-0.967841173298578,-0.4529659396167833
58,0:0:3.87,Patient,-0.7795944741994317,-0.4061145348546184
59,0:0:3.93,Patient,-0.7063185427626983,-0.3124783440994387
60,0:0:4.00,Patient,-0.9733664468203485,-0.2663948836350836
